page,keyword,description,example
10,TIME_LASTOB_END,The binned time in UTC of the end of the timespan that contains observations used in the OD. If last,2015-07-04T12:00:00.000000
10,RECOMMENDED_OD_SPAN,The recommended time span for the OD of the object in days. Information will be pulled from correspo,2.76
10,ACTUAL_OD_SPAN,The actual time span used in the OD of the object in days. Information will be pulled from correspon,2.76
10,OBS_AVAILABLE,Total amount of observations available for the OD of the object. Information will be pulled from cor,57
11,OBS_USED,Actual number of observations used in the OD of the object. Information will be pulled from correspo,57
11,TRACKS_AVAILABLE,The number of sensor tracks available for the OD of the object. Information will be pulled from corr,7
11,TRACKS_USED,The number of sensor tracks accepted for the OD of the object. Information will be pulled from corre,7
11,RESIDUALS_ACCEPTED,The percentage of residuals accepted in the OD of the object,99.3
11,WEIGHTED_RMS,The weighted Root Mean Square (RMS) of the residuals from a batch least squares,1.4
11,AREA_PC,The cross-sectional area of the object in m2. This value is NOT used to calculate Pc,3.12
11,MASS,The mass of the object in kg,10.1
11,HBR,The Hard Body Radius in m used by the TraCSS system to calculate probability of collision,3.00
11,CD_AREA_OVER_MASS,The object’s CD•A/m used in the propagation of the vector and covariance to TCA in m2/kg,0.161615504658
11,CR_AREA_OVER_MASS,The object’s CR•A/m used in the propagation of the vector and covariance to TCA in m2/kg,0
12,THRUST_ACCELERATION,The object’s acceleration in the In-track or Transverse (T) direction (RTN) used for propagating the,0 0.634
12,SEDR,"The Specific Energy Dissipation Rate, which is the amount of energy being removed from the object’s ",0.020492
12,APOAPSIS_ALTITUDE,The apogee of the object in km above oblate earth surface,460
12,PERIAPSIS_ALTITUDE,The perigee of the object in km above oblate earth surface,437
12,INCLINATION,The inclination of the object in deg,60.7
12,X_DOT,Object velocity vector X component in km/s,2.780391335
12,Y_DOT,Object velocity vector Y component in km/s,2.808606433
12,Z_DOT,Object velocity vector Z component in km/s,-5.751722603
12,CR_R,"Object covariance matrix [1,1] in m2 in Object 1’s RTN coordinate frame",2.762478951638903E+01
12,CT_R,"Object covariance matrix [2,1] in m2 in Object 1’s RTN coordinate frame",-6.541950061667144E+00
13,CT_T,"Object covariance matrix [2,2] in m2 in Object 1’s RTN coordinate frame",1.090607087502915E+03
13,CN_R,"Object covariance matrix [3,1] in m2 in Object 1’s RTN coordinate frame",-1.587445746741558E+00
13,CN_T,"Object covariance matrix [3,2] in m2 in Object 1’s RTN coordinate frame",-5.317841526701392E+01
13,CN_N,"Object covariance matrix [3,3] in m2 in Object 1’s RTN coordinate frame",8.797136762538368E+01
13,CRDOT_R,"Object covariance matrix [4,1] in m2/s in Object 1’s RTN coordinate frame",-6.857932575721321E-03
13,CRDOT_T,"Object covariance matrix [4,2] in m2/s in Object 1’s RTN coordinate frame",-1.093942116989287E+00
13,CRDOT_N,"Object covariance matrix [4,3] in m2/s in Object 1’s RTN coordinate frame",5.141264772990662E-02
13,CRDOT_RDOT,"Object covariance matrix [4,4] in m2/s2 in Object 1’s RTN coordinate frame",1.122438786460208E-03
13,CTDOT_R,"Object covariance matrix [5,1] in m2/s in Object 1’s RTN coordinate frame",-2.853074300735485E-02
13,CTDOT_T,"Object covariance matrix [5,2] in m2/s in Object 1’s RTN coordinate frame",5.986579249990964E-03
13,CTDOT_N,"Object covariance matrix [5,3] in m2/s in Object 1’s RTN coordinate frame",1.478514422166540E-03
13,CTDOT_RDOT,"Object covariance matrix [5,4] in m2/s2 in Object 1’s RTN coordinate frame",7.996126426440161E-06
13,CTDOT_TDOT,"Object covariance matrix [5,5] in m2/s2 in Object 1’s RTN coordinate frame",2.947267656834074E-05
14,CNDOT_R,,"Object covariance matrix [6,1] in m2/s in Object 1"
14,CNDOT_T,,"Object covariance matrix [6,2] in m2/s in Object 1"
14,CNDOT_N,,"Object covariance matrix [6,3] in m2/s in Object 1"
14,CNDOT_RDOT,,"Object covariance matrix [6,4] in m2/s2 in Object "
14,CNDOT_TDOT,,"Object covariance matrix [6,5] in m2/s2 in Object "
14,CNDOT_NDOT,,"Object covariance matrix [6,6] in m2/s2 in Object "
14,DENSITY_FORECAST_UNCERTAINTY,The dynamic considers parameter (DCP) 1-sigma uncertainty of the relative atmospheric density for th,2.143370310000000E-0
14,SCREENING_DATA_SOURCE,The data used to generate the CDM,DoD HAC State Vector O/O Operational Ephemeris O/O
14,DCP_SENSITIVITY_VECTOR_POSITION,The DCP position sensitivity vector expressed in the object’s radial-transverse-normal (RTN) referen,-7.345809012167026E+02 3.865957136169006E+05 -1.45
15,DCP_SENSITIVITY_VECTOR_VELOCITY,The DCP velocity vector that relates changes in the object’s TCA inertial velocity vector to variati,-2.195009966872100E+02 2.630946954519584E-01 3.265
15,USER_DEFINED_MEETS_ALERTABLE_CRITERIA,A comment placed here to indicate if this CDM meets TraCSS alertable criteria defined in the TraCSS ,YES NO
15,USER_DEFINED_RUN_ID,"The unique ID of the conjunction analysis run that produced this CDM, for traceability.",258526987
15,USER_DEFINED_CORRELATION_ID,The unique ID correlates the CDM to the package of SP Vectors used by TraCSS. May be used by operato,258526987
15,USER_DEFINED_DILUTION_STATUS,Flag indicating whether the conjunction is in the dilution region or robust region.,ROBUST DILUTED
15,USER_DEFINED_DILUTION_SIGNIFICANCE,Value indicating difference between Pc and Max Pc. This relates how severely diluted a conjunction i,
15,USER_DEFINED_ENVIRONMENTAL_IMPACT_FRAGMENTATION,Value indicating number of predicted fragments if this collision were to occur,2438
15,USER_DEFINED_FRAGMENTATION_MODEL,Free text field containing the name of the space environment fragmentation model used,
