keyword,in_ccsds,in_tracss,ccsds_section,ccsds_units,ccsds_obligatory,description
TCA,Y,Y,Header / RelativeMetadata,n/a,Yes,The date and time in UTC of the closest approach. (See 6.3.2.6 for formatting ru
THRUST_ACCELERATION,Y,Y,Additional Parameters,m/s**2,No,The object’s acceleration due to in-track thrust used to propagate the state vec
TIME_LASTOB_END,Y,Y,OD Parameters,n/a,No,The end of a time interval (UTC) that contains the time of the last accepted obs
TIME_LASTOB_START,Y,Y,OD Parameters,n/a,No,The start of a time interval (UTC) that contains the time of the last accepted o
TRACKS_AVAILABLE,Y,Y,OD Parameters,n/a,No,The number of sensor tracks available for the OD of the object. (See annex E for
TRACKS_USED,Y,Y,OD Parameters,n/a,No,The number of sensor tracks accepted for the OD of the object. (See annex E for 
USER_DEFINED_CORRELATION_ID,N,Y,,,,The unique ID correlates the CDM to the package of SP Vectors used by TraCSS. May be used by operato
USER_DEFINED_DILUTION_SIGNIFICANCE,N,Y,,,,Value indicating difference between Pc and Max Pc. This relates how severely diluted a conjunction i
USER_DEFINED_DILUTION_STATUS,N,Y,,,,Flag indicating whether the conjunction is in the dilution region or robust region.
USER_DEFINED_ENVIRONMENTAL_IMPACT_FRAGMENTATION,N,Y,,,,Value indicating number of predicted fragments if this collision were to occur
USER_DEFINED_FRAGMENTATION_MODEL,N,Y,,,,Free text field containing the name of the space environment fragmentation model used
USER_DEFINED_MEETS_ALERTABLE_CRITERIA,N,Y,,,,A comment placed here to indicate if this CDM meets TraCSS alertable criteria defined in the TraCSS 
USER_DEFINED_RUN_ID,N,Y,,,,"The unique ID of the conjunction analysis run that produced this CDM, for traceability."
WEIGHTED_RMS,Y,Y,OD Parameters,n/a,No,The weighted Root Mean Square (RMS) of the residuals from a batch least squares 
X_DOT,Y,Y,Additional Parameters,km/s,Yes,Object Velocity Vector X component.
Y_DOT,Y,Y,Additional Parameters,km/s,Yes,Object Velocity Vector Y component.
Z_DOT,Y,Y,Additional Parameters,km/s,Yes,Object Velocity Vector Z component.
